#{"t_start": 1695647713.2101433, "env_id": null}
r,l,t
127.107973,11,117621.279208
121.432967,11,117687.741417
82.981576,8,117734.743141
131.176618,7,117777.508039
124.750931,11,117843.328983
120.828417,11,117907.856106
118.559725,11,117973.309223
123.099029,11,118038.846417
102.850485,8,118086.594275
121.516678,11,118152.870981
114.452814,11,118220.790883
124.413766,11,118286.74666
112.893879,11,118351.055062
118.152231,11,118416.376732
96.744223,8,118464.925234
160.216592,9,118518.786733
123.10089,11,118583.151925
126.285149,11,118650.053925
143.747469,8,118698.904069
117.478418,11,118764.435575
125.426904,11,118830.891459
123.605876,11,118897.200665
109.757052,9,118949.873573
126.018924,11,119016.568348
122.746733,11,119082.682132
123.763302,11,119149.005208
158.828932,9,119201.207154
99.111528,8,119248.76563
121.139863,11,119313.438875
125.162483,11,119380.13294
124.866009,11,119444.608616
120.574479,11,119510.798288
124.934803,11,119575.304927
122.690308,11,119641.480337
146.032259,8,119689.650458
104.047173,5,119719.569677
120.206569,11,119783.118813
125.105177,11,119849.824321
70.149455,7,119892.396346
122.412608,11,119956.110234
119.497656,6,119992.217474
126.057579,11,120058.901932
147.128519,8,120106.161191
101.465906,8,120154.930817
120.441933,11,120218.599395
140.978985,11,120284.295926
124.724475,11,120350.242733
123.339356,11,120414.927372
107.952972,5,120445.165935
139.175504,11,120510.746672
138.687353,11,120576.064232
121.662451,11,120640.010254
127.991432,11,120704.624399
126.798103,11,120770.058359
135.385001,7,120812.324731
82.499371,3,120832.082285
125.22237,11,120897.458683
122.659452,11,120962.6924
96.213391,4,120988.557813
144.704183,8,121037.066333
68.474705,6,121072.312767
